codigo,descricao
1,"Banco do Brasil - Banco Múltiplo"
2,"Banco Comercial"
3,"Banco Comercial Cooperativo"
4,"BNDES"
5,"Banco de Desenvolvimento"
6,"Caixa Econômica Federal"
7,"Caixa Econômica Estadual"
8,"Banco Múltiplo"
9,"Cooperativa de Crédito"
10,"Sociedade de Crédito ao Microempreendedor"
11,"Banco Múltiplo Cooperativo"
13,"Banco de Investimento"
14,"Sociedade de Crédito, Financiamento e Investimento"
15,"Sociedade Corretora de TVM"
16,"Sociedade Distribuidora de TVM"
19,"Sociedade de Arrendamento Mercantil"
20,"Sociedade de Crédito Imobiliário"
21,"Sociedade Corretora de Câmbio"
25,"Associação de Poupança e Empréstimo"
28,"Banco Comercial Estrangeiro - Filial no país"
29,"Companhia Hipotecária"
30,"Agência de Fomento"
31,"Sociedade de Crédito Imobiliário - Repassadora"
39,"Banco de Câmbio"
41,"Instituições de Pagamento"
43,"Sociedades de Crédito Direto"
44,"Sociedades de Empréstimo entre Pessoas"
196,"Conglomerado de Mercado de Capitais"
197,"Conglomerado Não-Bancário de Crédito"
198,"Conglomerado - Bancário II"
199,"Conglomerado - Bancário I"
38,"Cooperativa Central de Crédito"
